Year,Team,AVG,ISO,WAR,Spd,Def,lgID,W,L,DivWin,WCWin,LgWin,WSWin,playoffs
1996,Mariners,0.287,0.197,37.1,4.4,33.1,AL,85,76,N,N,N,N,False
1996,Indians,0.293,0.182,30.2,4.9,-35.0,AL,99,62,Y,N,N,N,True
1999,Indians,0.289,0.177,34.4,5.1,18.6,AL,97,65,Y,N,N,N,True
1995,Indians,0.291,0.188,27.8,4.8,-24.1,AL,100,44,Y,N,Y,N,True
1994,Yankees,0.29,0.172,23.4,3.9,-16.0,AL,70,43,,,,,False
2009,Yankees,0.283,0.194,33.3,4.6,-24.8,AL,103,59,Y,N,Y,Y,True
2000,Indians,0.288,0.182,27.1,4.8,-29.4,AL,90,72,N,N,N,N,False
2003,Red Sox,0.289,0.202,32.6,4.8,-61.5,AL,95,67,N,Y,N,N,True
1997,Rockies,0.288,0.19,19.9,5.2,43.5,NL,83,79,N,N,N,N,False
1997,Mariners,0.28,0.204,34.0,4.2,-10.9,AL,90,72,Y,N,N,N,True
1999,Rangers,0.293,0.186,26.3,4.7,-20.4,AL,95,67,Y,N,N,N,True
2007,Yankees,0.29,0.174,33.9,5.0,-47.2,AL,94,68,N,Y,N,N,True
2000,Astros,0.278,0.199,23.1,5.0,-10.9,NL,72,90,N,N,N,N,False
1998,Yankees,0.288,0.172,36.1,5.1,6.9,AL,114,48,Y,N,Y,Y,True
1997,Indians,0.286,0.181,31.3,4.3,-8.1,AL,86,75,Y,N,Y,N,True
2000,Giants,0.278,0.194,34.7,4.6,53.7,NL,97,65,Y,N,N,N,True
1994,Indians,0.289,0.194,19.7,5.4,-19.8,AL,66,47,,,,,False
2004,Red Sox,0.282,0.19,24.7,4.4,-66.6,AL,98,64,N,Y,Y,Y,True
1996,Rockies,0.287,0.185,17.6,5.9,35.7,NL,83,79,N,N,N,N,False
1999,Yankees,0.282,0.171,25.9,4.7,-39.9,AL,98,64,Y,N,Y,Y,True
1996,Rangers,0.284,0.184,27.0,4.5,3.2,AL,90,72,Y,N,N,N,True
1976,Reds,0.28,0.144,45.9,6.1,39.2,NL,102,60,Y,,Y,Y,True
2000,White Sox,0.286,0.184,25.9,5.1,-9.6,AL,95,67,Y,N,N,N,True
1998,Rangers,0.289,0.173,27.6,4.4,-0.4,AL,88,74,Y,N,N,N,True
1995,Rockies,0.282,0.189,12.4,5.4,1.8,NL,77,67,N,Y,N,N,True
2001,Rockies,0.292,0.191,26.6,5.8,102.6,NL,73,89,N,N,N,N,False
2000,Athletics,0.27,0.188,22.8,3.7,-62.9,AL,91,70,Y,N,N,N,True
1995,Red Sox,0.28,0.175,30.2,4.7,59.8,AL,86,58,Y,N,N,N,True
2000,Angels,0.28,0.193,31.3,4.3,52.7,AL,82,80,N,N,N,N,False
1996,Red Sox,0.283,0.173,16.8,4.5,-97.0,AL,85,77,N,N,N,N,False
2006,Yankees,0.285,0.177,24.2,4.9,-91.9,AL,97,65,Y,N,N,N,True
1977,Red Sox,0.282,0.183,29.3,4.6,-0.5,AL,97,64,N,,N,N,False
1996,Orioles,0.274,0.198,23.1,4.4,-51.1,AL,88,74,N,Y,N,N,True
2008,Rangers,0.283,0.179,25.6,4.9,-73.4,AL,79,83,N,N,N,N,False
1999,Rockies,0.288,0.184,1.3,4.5,-45.2,NL,72,90,N,N,N,N,False
1993,Tigers,0.275,0.159,25.7,4.6,-54.8,AL,85,77,N,,N,N,False
1997,Red Sox,0.291,0.171,28.4,4.0,-0.7,AL,78,84,N,N,N,N,False
2003,Braves,0.284,0.192,35.6,4.5,46.7,NL,101,61,Y,N,N,N,True
1994,White Sox,0.287,0.156,22.6,5.2,0.0,AL,67,46,,,,,False
2000,Cardinals,0.27,0.185,31.2,4.3,82.1,NL,95,67,Y,N,N,N,True
2000,Rockies,0.294,0.161,15.5,5.5,100.6,NL,82,80,N,N,N,N,False
1999,Blue Jays,0.28,0.177,23.7,4.3,-10.1,AL,84,78,N,N,N,N,False
1979,Red Sox,0.283,0.173,28.1,4.0,16.9,AL,91,69,N,,N,N,False
1998,Mariners,0.276,0.192,26.0,4.8,-30.5,AL,76,85,N,N,N,N,False
1998,Red Sox,0.28,0.183,31.1,4.6,44.2,AL,92,70,N,Y,N,N,True
2005,Red Sox,0.281,0.174,27.6,3.9,-33.9,AL,95,67,N,Y,N,N,True
2007,Red Sox,0.279,0.165,29.7,4.7,11.8,AL,96,66,Y,N,Y,Y,True
2002,Yankees,0.275,0.18,28.5,4.2,-55.4,AL,103,58,Y,N,N,N,True
2000,Mariners,0.269,0.172,28.8,4.7,12.0,AL,91,71,N,Y,N,N,True
2011,Red Sox,0.28,0.181,36.2,4.6,21.1,AL,90,72,N,N,N,N,False
1996,White Sox,0.281,0.166,24.5,4.6,-40.5,AL,85,77,N,N,N,N,False
2008,Red Sox,0.28,0.168,33.4,4.8,43.3,AL,95,67,N,Y,N,N,True
1999,Athletics,0.259,0.187,19.7,3.9,-67.3,AL,87,75,N,N,N,N,False
1998,Rockies,0.291,0.169,13.7,4.3,52.2,NL,77,85,N,N,N,N,False
2003,Yankees,0.271,0.182,26.5,4.1,-72.0,AL,101,61,Y,N,Y,N,True
1995,Angels,0.277,0.171,22.7,4.1,2.4,AL,78,67,N,N,N,N,False
2009,Red Sox,0.27,0.184,24.5,5.0,-13.2,AL,95,67,N,Y,N,N,True
2007,Phillies,0.274,0.184,34.9,5.5,78.5,NL,89,73,Y,N,N,N,True
1994,Tigers,0.265,0.189,13.1,4.3,-51.8,AL,53,62,,,,,False
1997,Yankees,0.286,0.15,22.8,4.1,-83.6,AL,96,66,N,Y,N,N,True
1999,Mets,0.279,0.156,29.8,4.3,57.0,NL,97,66,N,Y,N,N,True
2004,Yankees,0.268,0.189,21.7,4.3,-88.1,AL,101,61,Y,N,N,N,True
1979,Brewers,0.28,0.168,30.5,4.7,-15.4,AL,95,66,N,,N,N,False
2000,Yankees,0.277,0.173,20.6,4.3,-39.5,AL,87,74,Y,N,Y,Y,True
2005,Yankees,0.276,0.174,17.4,4.0,-160.9,AL,95,67,Y,N,N,N,True
1999,Orioles,0.279,0.169,28.9,4.3,21.7,AL,78,84,N,N,N,N,False
1993,Yankees,0.279,0.156,32.7,3.2,22.8,AL,88,74,N,,N,N,False
2000,Blue Jays,0.275,0.194,20.6,4.3,-15.1,AL,83,79,N,N,N,N,False
1995,Mariners,0.276,0.173,22.5,4.7,-7.5,AL,79,66,Y,N,N,N,True
2001,Rangers,0.275,0.195,22.4,4.5,-61.8,AL,73,89,N,N,N,N,False
2006,Blue Jays,0.284,0.179,25.4,4.1,3.4,AL,87,75,N,N,N,N,False
2008,Cubs,0.278,0.165,31.0,4.2,70.9,NL,97,64,Y,N,N,N,True
1999,Red Sox,0.278,0.17,24.2,4.4,23.0,AL,94,68,N,Y,N,N,True
1982,Brewers,0.279,0.176,35.9,4.7,-4.5,AL,95,67,Y,,Y,N,True
1996,Yankees,0.288,0.148,18.6,4.5,-66.6,AL,92,70,Y,N,Y,Y,True
1999,Diamondbacks,0.277,0.182,27.3,5.4,84.6,NL,100,62,Y,N,N,N,True
1996,Brewers,0.279,0.162,19.4,4.9,-13.2,AL,80,82,N,N,N,N,False
1988,Red Sox,0.283,0.137,31.7,4.3,-15.4,AL,89,73,Y,,N,N,True
1987,Tigers,0.272,0.179,30.4,4.6,-13.2,AL,98,64,Y,,N,N,True
1979,Angels,0.282,0.148,24.9,4.8,-68.2,AL,88,74,Y,,N,N,True
2011,Rangers,0.283,0.177,34.6,5.1,17.2,AL,96,66,Y,N,Y,N,True
1984,Red Sox,0.283,0.158,24.8,3.9,-42.7,AL,86,76,N,,N,N,False
1999,Giants,0.271,0.163,22.4,4.3,-1.1,NL,86,76,N,N,N,N,False
1982,Angels,0.274,0.159,34.1,3.4,31.3,AL,93,69,Y,,N,N,True
2003,Blue Jays,0.279,0.175,18.4,3.9,-88.7,AL,86,76,N,N,N,N,False
1977,Phillies,0.279,0.169,38.5,5.3,95.8,NL,101,61,Y,,N,N,True
2001,Mariners,0.288,0.157,44.4,5.7,84.6,AL,116,46,Y,N,N,N,True
1993,Blue Jays,0.279,0.157,28.6,5.5,-3.7,AL,95,67,Y,,Y,Y,True
1998,Orioles,0.273,0.174,24.9,3.7,-29.3,AL,79,83,N,N,N,N,False
2001,Indians,0.278,0.179,23.7,4.7,-67.4,AL,91,71,Y,N,N,N,True
2000,Rangers,0.283,0.163,10.2,4.1,-76.8,AL,71,91,N,N,N,N,False
2007,Tigers,0.287,0.171,30.7,5.5,19.4,AL,88,74,N,N,N,N,False
1998,Indians,0.273,0.176,26.6,4.9,20.9,AL,89,73,Y,N,N,N,True
1998,Astros,0.28,0.156,35.1,5.1,44.5,NL,102,60,Y,N,N,N,True
1996,Athletics,0.265,0.187,17.6,3.7,-73.0,AL,78,84,N,N,N,N,False
1977,Yankees,0.281,0.163,37.0,4.6,27.7,AL,100,62,Y,,Y,Y,True
2013,Red Sox,0.277,0.169,35.9,5.2,6.7,AL,97,65,Y,N,Y,Y,True
2006,Indians,0.28,0.177,21.2,4.2,-61.4,AL,78,84,N,N,N,N,False
1978,Brewers,0.276,0.155,34.7,4.7,3.1,AL,93,69,N,,N,N,False
1999,Mariners,0.269,0.186,18.3,4.6,-71.7,AL,79,83,N,N,N,N,False
1977,White Sox,0.278,0.166,19.0,4.1,-116.7,AL,90,72,N,,N,N,False
2003,Cardinals,0.279,0.175,34.4,4.5,53.5,NL,85,77,N,N,N,N,False
2010,Yankees,0.267,0.169,32.3,4.8,-8.1,AL,95,67,N,Y,N,N,True
2009,Angels,0.285,0.156,28.7,5.0,-4.5,AL,97,65,Y,N,N,N,True
1994,Reds,0.286,0.164,21.6,5.6,31.8,NL,66,48,,,,,False
1998,Braves,0.272,0.181,37.6,4.6,124.6,NL,106,56,Y,N,N,N,True
2007,Rockies,0.28,0.158,23.1,4.9,41.6,NL,90,73,N,Y,Y,N,True
1975,Red Sox,0.275,0.142,29.4,4.2,47.8,AL,95,65,Y,,Y,N,True
2006,White Sox,0.28,0.184,19.3,4.2,-34.1,AL,90,72,N,N,N,N,False
1980,Red Sox,0.283,0.153,24.7,4.1,-12.5,AL,83,77,N,,N,N,False
1994,Rangers,0.28,0.157,9.6,5.0,-56.5,AL,52,62,,,,,False
1984,Tigers,0.271,0.161,35.5,4.6,27.9,AL,104,58,Y,,Y,Y,True
1995,White Sox,0.28,0.151,21.0,5.0,-35.5,AL,68,76,N,N,N,N,False
2010,Red Sox,0.268,0.183,24.4,4.1,-41.3,AL,89,73,N,N,N,N,False
2004,Indians,0.276,0.168,26.8,4.4,-18.2,AL,80,82,N,N,N,N,False
1994,Orioles,0.272,0.166,20.8,4.8,41.4,AL,63,49,,,,,False
1975,Reds,0.271,0.13,43.2,5.6,99.1,NL,108,54,Y,,Y,Y,True
2011,Yankees,0.263,0.181,33.0,5.2,6.3,AL,97,65,Y,N,N,N,True
1995,Yankees,0.276,0.144,21.9,4.2,-9.3,AL,79,65,N,Y,N,N,True
1986,Yankees,0.271,0.159,30.6,4.5,-26.0,AL,90,72,N,,N,N,False
2004,Rockies,0.275,0.18,14.1,4.0,-3.7,NL,68,94,N,N,N,N,False
2015,Blue Jays,0.269,0.188,34.6,4.6,-9.1,AL,93,69,Y,N,N,N,True
1999,Reds,0.272,0.179,30.8,5.5,137.4,NL,96,67,N,N,N,N,False
1996,Twins,0.288,0.137,21.9,5.3,12.8,AL,78,84,N,N,N,N,False
1985,Red Sox,0.282,0.147,27.1,4.1,-25.8,AL,81,81,N,,N,N,False
1993,Phillies,0.274,0.153,27.7,5.1,-7.5,NL,97,65,Y,,Y,N,True
2004,Cardinals,0.278,0.182,33.6,4.5,60.7,NL,105,57,Y,N,Y,N,True
1980,Brewers,0.275,0.173,32.4,4.9,5.2,AL,86,76,N,,N,N,False
1977,Reds,0.274,0.162,31.5,5.3,34.7,NL,88,74,N,,N,N,False
2005,Rangers,0.267,0.201,20.8,4.5,-54.3,AL,79,83,N,N,N,N,False
1973,Braves,0.266,0.161,29.8,4.2,31.0,NL,76,85,N,,N,N,False
1999,Phillies,0.275,0.156,24.2,5.2,73.4,NL,77,85,N,N,N,N,False
1980,Yankees,0.267,0.157,28.6,4.4,-36.9,AL,103,59,Y,,N,N,True
2001,Astros,0.271,0.18,23.6,4.0,36.1,NL,93,69,Y,N,N,N,True
2002,Rangers,0.269,0.186,21.9,4.1,-22.9,AL,72,90,N,N,N,N,False
1983,Blue Jays,0.277,0.159,28.5,5.2,19.5,AL,89,73,N,,N,N,False
2002,Red Sox,0.277,0.168,24.2,4.6,-28.8,AL,93,69,N,N,N,N,False
1998,Blue Jays,0.266,0.182,22.1,4.9,-13.7,AL,88,74,N,N,N,N,False
2008,Tigers,0.271,0.173,18.0,4.4,-78.7,AL,74,88,N,N,N,N,False
1994,Astros,0.278,0.167,26.2,5.5,58.4,NL,66,49,,,,,False
1965,Reds,0.273,0.166,33.2,5.1,12.0,NL,89,73,,,N,N,False
1999,Royals,0.282,0.151,19.0,5.6,16.7,AL,64,97,N,N,N,N,False
1999,Brewers,0.273,0.153,18.0,4.3,11.0,NL,74,87,N,N,N,N,False
1995,Reds,0.27,0.169,28.3,5.7,63.3,NL,85,59,Y,N,N,N,True
1991,Rangers,0.27,0.154,25.1,4.5,-62.2,AL,85,77,N,,N,N,False
2002,White Sox,0.268,0.181,22.5,4.5,-26.9,AL,81,81,N,N,N,N,False
1987,Red Sox,0.278,0.152,21.3,4.0,-32.8,AL,78,84,N,,N,N,False
2008,Cardinals,0.281,0.152,32.4,4.1,72.3,NL,86,76,N,N,N,N,False
2003,Rockies,0.267,0.179,16.5,4.2,39.6,NL,74,88,N,N,N,N,False
1970,Reds,0.27,0.165,36.0,4.8,66.8,NL,102,60,Y,,Y,N,True
1991,Twins,0.28,0.139,27.4,4.6,18.4,AL,95,67,Y,,Y,Y,True
1978,Red Sox,0.267,0.157,24.5,4.3,-9.8,AL,99,64,N,,N,N,False
2009,Devil Rays/Rays,0.263,0.177,33.5,5.5,31.6,AL,84,78,N,N,N,N,False
2012,Yankees,0.265,0.188,29.2,4.1,-24.8,AL,95,67,Y,N,N,N,True
2006,Phillies,0.267,0.18,25.9,4.9,34.6,NL,85,77,N,N,N,N,False
2000,Reds,0.274,0.173,24.3,4.8,89.9,NL,85,77,N,N,N,N,False
2009,Rockies,0.261,0.18,19.2,5.0,21.1,NL,92,70,N,Y,N,N,True
2001,Giants,0.266,0.194,30.9,4.0,46.3,NL,90,72,N,N,N,N,False
1969,Orioles,0.265,0.148,44.6,4.2,150.9,AL,109,53,Y,,Y,N,True
1977,Royals,0.277,0.159,29.7,6.1,10.7,AL,102,60,Y,,N,N,True
